"","and","but","for","good","have","not","that","the","they","this","with","you"
"Rating1_term2totalTerm",0.046,0.008,0.018,0.006,0.016,0.011,0.015,0.057,0.012,0.013,0.008,0.009
"Rating2_term2totalTerm",0.042,0.011,0.014,0.006,0.016,0.011,0.013,0.073,0.011,0.01,0.008,0.017
"Rating3_term2totalTerm",0.043,0.01,0.021,0.008,0.02,0.01,0.012,0.072,0.009,0.011,0.009,0.013
"Rating4_term2totalTerm",0.046,0.011,0.016,0.01,0.016,0.007,0.012,0.061,0.01,0.008,0.009,0.015
"Rating5_term2totalTerm",0.059,0.006,0.018,0.013,0.023,0.004,0.01,0.056,0.01,0.01,0.01,0.012
